Movie,Netflix Result,404,URL
Arctic Dogs,Found,NO,https://www.netflix.com/title/80198596?source=35
Arctic Heart,Found,NO,https://www.netflix.com/title/80156683?source=35
A Remarkable Tale,Found,NO,https://www.netflix.com/title/80245356?source=35
Ares,Found,NO,https://www.netflix.com/title/80165083?source=35
Are We Done,Found,YES,https://www.netflix.com/gb/title/70058008
Arjun: The Warrior Prince,Found,NO,https://www.netflix.com/title/70139073?source=35
Armed Response,Found,NO,https://www.netflix.com/title/80198592?source=35
Armed to the Teeth,Found,NO,https://www.netflix.com/title/81123826?source=35
ARQ,Found,NO,https://www.netflix.com/title/80092885?source=35
Arrest Letter,Found,NO,https://www.netflix.com/title/81035835?source=35
Arsenio Hall: Smart and Classy,Found,NO,https://www.netflix.com/title/81148672
Arthur,Found,NO,https://www.netflix.com/title/70167072
Arthur Christmas,Found,NO,https://www.netflix.com/title/70202138?source=35
Article 15,Found,NO,https://www.netflix.com/title/81154455?source=35
A Russell Peters Christmas Special,Found,NO,https://www.netflix.com/title/70288423?source=35
"As Above, So Below",Found,NO,https://www.netflix.com/title/70307661?source=35
A Scandall,Found,NO,https://www.netflix.com/title/80201824?source=35
Ascharya Fuck It,Found,NO,https://www.netflix.com/title/81018239?source=35
A Second Chance,Found,NO,https://www.netflix.com/title/80092925?source=35
A Second Chance,Found,NO,https://www.netflix.com/title/80092925?source=35
A Secret Love,Found,NO,https://www.netflix.com/title/80209024?source=35
Asees,Found,NO,https://www.netflix.com/title/81024731?source=35
A Serious Man,Found,NO,https://www.netflix.com/title/70114021?source=35
As Good as It Gets,Found,NO,https://www.netflix.com/title/1181488?source=35
A Shaun the Sheep Movie: Farmageddon,Found,NO,https://www.netflix.com/title/80242602?source=35
A Silent Voice,Found,NO,https://www.netflix.com/title/80223226?source=35
A Single Man,Found,NO,https://www.netflix.com/title/70117297?source=35
Aśoka,Found,NO,https://www.netflix.com/title/60021758?source=35
A Sort of Family,Found,NO,https://www.netflix.com/title/80202808?source=35
A Sort of Homecoming,Found,NO,https://www.netflix.com/title/80190147?source=35
Asperger's Are Us,Found,NO,https://www.netflix.com/title/80104420?source=35
Assimilate,Found,NO,https://www.netflix.com/title/81136744?source=35
A Stoning in Fulham County,Found,NO,https://www.netflix.com/title/70206821?source=35
A StoryBots Christmas,Found,NO,https://www.netflix.com/title/80158854?source=35
¡Asu Mare! 2,Found,NO,https://www.netflix.com/title/80118982?source=35
A Sun,Found,NO,https://www.netflix.com/title/81168282?source=35
A Tale of Love and Darkness,Found,NO,https://www.netflix.com/title/80081372?source=35
A Tale of Two Kitchens,Found,NO,https://www.netflix.com/title/80244680?source=35
At First Light,Found,NO,https://www.netflix.com/title/81029400?source=35
Atlantics,Found,NO,https://www.netflix.com/title/81082007?source=35
ATM: Er Rak Error,Not Found,N/A,N/A
A Triumph of the Heart: The Ricky Bell Story,Found,NO,https://www.netflix.com/title/70206824?source=35
A Truthful Mother,Found,NO,https://www.netflix.com/title/81260948?source=35
Attacking the Devil: Harold Evans and the Last Nazi War Crime,Found,NO,https://www.netflix.com/title/80104330?source=35
Attitude Test,Found,NO,https://www.netflix.com/title/80234464?source=35
A Twelve-Year Night,Found,NO,https://www.netflix.com/title/80185375?source=35
Audrie and Daisy,Found,NO,https://www.netflix.com/title/80097321?source=35
Aurora,Found,NO,https://www.netflix.com/title/81066244?source=35
Aurora,Found,NO,https://www.netflix.com/title/81066244?source=35
Austin Powers in Goldmember,Found,YES,https://www.netflix.com/ch-en/title/60023608
Austin Powers: International Man of Mystery,Found,YES,https://www.netflix.com/au/title/1153656
Austin Powers: The Spy Who Shagged Me,Not Found,N/A,N/A
Autohead,Found,NO,https://www.netflix.com/title/80154688?source=35
Automata,Found,NO,https://www.netflix.com/title/70304989?source=35
Autumn,Found,NO,https://www.netflix.com/title/70272726
Aval,Found,NO,https://www.netflix.com/title/80233025?source=35
Avengers: Infinity War,Found,NO,https://www.netflix.com/title/80219127?source=35
A Very Murray Christmas,Found,NO,https://www.netflix.com/title/80042368?source=35
Avicii: True Stories,Not Found,N/A,N/A
Await Further Instructions,Found,NO,https://www.netflix.com/title/81005266?source=35
Awake,Found,NO,https://www.netflix.com/title/81218079
Awe!,Found,NO,https://www.netflix.com/title/81052266?source=35
A Wednesday!,Found,NO,https://www.netflix.com/title/70107499?source=35
A Week in Watts,Found,NO,https://www.netflix.com/title/80223123?source=35
A Witches' Ball,Found,NO,https://www.netflix.com/title/81012857?source=35
A-X-L,Found,NO,https://www.netflix.com/title/80195967?source=35
Ayana,Found,NO,https://www.netflix.com/title/81067757?source=35
Ayat-Ayat Cinta 2,Found,NO,https://www.netflix.com/title/81047903?source=35
A Yellow Bird,Found,NO,https://www.netflix.com/title/80115133?source=35
Aykut Enişte,Found,NO,https://www.netflix.com/title/81158574?source=35
"¡Ay, mi madre!",Found,NO,https://www.netflix.com/title/80997613?source=35
Ayotzinapa: The Turtle's Pace,Found,NO,https://www.netflix.com/title/81013509
Azali,Found,NO,https://www.netflix.com/title/81229200?source=35
Azhar,Found,NO,https://www.netflix.com/title/80108518?source=35
Aziz Ansari: Buried Alive,Found,NO,https://www.netflix.com/title/70290568?source=35
Aziz Ansari: Live at Madison Square Garden,Found,NO,https://www.netflix.com/title/80038296?source=35
Aziz Ansari: Right Now,Found,NO,https://www.netflix.com/title/81098589?source=35
Baadshaho,Found,NO,https://www.netflix.com/title/80211134?source=35
Baaghi,Found,NO,https://www.netflix.com/title/80104648?source=35
Baahubali 2: The Conclusion,Found,NO,https://www.netflix.com/title/80203996?source=35
Baazaar,Found,NO,https://www.netflix.com/title/81044299?source=35
Babel,Found,NO,https://www.netflix.com/title/70045866?source=35
Baby Mamas,Found,NO,https://www.netflix.com/title/81244451?source=35
Bachelor Girls,Found,NO,https://www.netflix.com/title/80236167?source=35
Backdraft 2,Found,NO,https://www.netflix.com/title/81053958?source=35
Backfire,Found,NO,https://www.netflix.com/title/81088786?source=35
Back of the Net,Found,NO,https://www.netflix.com/title/81108479?source=35
Back to School,Not Found,N/A,N/A
Back to the 90s,Found,NO,https://www.netflix.com/title/80999981?source=35
Back to the Future,Found,NO,https://www.netflix.com/title/60010110?source=35
Back to the Future Part II,Found,NO,https://www.netflix.com/title/60010111?source=35
Back to the Future Part III,Found,NO,https://www.netflix.com/title/60024059?source=35
Backtrack,Found,NO,https://www.netflix.com/title/80052828?source=35
Bad Boys,Found,NO,https://www.netflix.com/title/269880?source=35
Bad Boys II,Found,NO,https://www.netflix.com/title/60029167?source=35
Bad Day for the Cut,Found,NO,https://www.netflix.com/title/80174219?source=35
Bad Genius,Found,NO,https://www.netflix.com/title/80245442?source=35
Badla,Found,NO,https://www.netflix.com/title/81112446?source=35
Badland,Found,NO,https://www.netflix.com/title/81218076?source=35
Bad Rap,Found,NO,https://www.netflix.com/title/80134952?source=35
Bad Seeds,Found,NO,https://www.netflix.com/title/80999643?source=35
Bahubali: The Beginning,Found,NO,https://www.netflix.com/title/80204119?source=35
Balu Mahi,Found,NO,https://www.netflix.com/title/80175151?source=35
Bana Masal Anlatma,Found,NO,https://www.netflix.com/title/80134515?source=35
Bandie,Found,NO,https://www.netflix.com/title/80158388?source=35
Bandits,Found,NO,https://www.netflix.com/title/60021636
Bangkok Hell: Nor Chor - The Prisoners,Found,NO,https://www.netflix.com/title/81000011
Bangkok Traffic Love Story,Found,NO,https://www.netflix.com/title/81016044?source=35
Bang Rajan 2,Found,NO,https://www.netflix.com/title/80007777?source=35
B.A. Pass,Found,NO,https://www.netflix.com/title/70290904?source=35
B. A. Pass 2,Found,NO,https://www.netflix.com/title/80994443?source=35
Barah Aana,Found,NO,https://www.netflix.com/title/80083672?source=35
Barakah Meets Barakah,Found,NO,https://www.netflix.com/title/80103282?source=35
Barbecue,Found,NO,https://www.netflix.com/title/80182274?source=35
Barbie: A Fairy Secret,Found,NO,https://www.netflix.com/title/70165189?source=35
Barbie: Dolphin Magic,Found,NO,https://www.netflix.com/title/80192815?source=35
Barbie and Her Sisters in A Pony Tale,Found,NO,https://www.netflix.com/title/70291096?source=35
Barbie in A Mermaid Tale,Found,NO,https://www.netflix.com/title/70130483?source=35
